"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Slovenia,1344096,+21,7100.0,,1328006.0,,8990.0,8,"646,811","3,417","2,847,701","1,370,382","2,078,034",Europe,2,293,1,10,,"4,326"
Lithuania,1320775,+31,9687.0,,1310102.0,+66,986.0,3,"496,213","3,639","10,456,160","3,928,365","2,661,708",Europe,2,275,0,12,,370
Bulgaria,1308003,,38399.0,,1267665.0,,1939.0,31,"191,100","5,610","11,246,006","1,643,049","6,844,597",Europe,5,178,1,,,283
Morocco,1274180,,16297.0,,1256151.0,,1732.0,3,"33,733",431,"13,001,033","344,191","37,772,756",Africa,30,"2,318",3,,,46
Croatia,1273871,,18266.0,,1255405.0,,200.0,6,"313,817","4,500","5,606,067","1,381,048","4,059,286",Europe,3,222,1,,,49
Guatemala,1253660,,20202.0,,1231005.0,,2453.0,5,"67,459","1,087","7,361,909","396,141","18,584,039",North America,15,920,3,,,132
Lebanon,1238364,+808,10930.0,+16,1087587.0,,139847.0,74,"185,249","1,635","4,795,578","717,380","6,684,849",Asia,5,612,1,121,2,"20,920"
Costa Rica,1232576,,9374.0,,860711.0,,362491.0,52,"237,841","1,809","4,659,757","899,158","5,182,354",North America,4,553,1,,,"69,947"
Bolivia,1199822,,22386.0,,1168875.0,,8561.0,220,"100,046","1,867","2,710,261","225,993","11,992,656",South America,10,536,4,,,714
Cuba,1114407,+24,8530.0,,1105709.0,+34,168.0,2,"98,571",754,"14,345,279","1,268,859","11,305,652",North America,10,"1,325",1,2,,15
UAE,1067030,,2349.0,,1054525.0,,10156.0,,"105,837",233,"200,732,262","19,910,389","10,081,785",Asia,9,"4,292",0,,,"1,007"
Ecuador,1062275,,36019.0,,1025747.0,,509.0,759,"58,646","1,989","3,082,403","170,173","18,113,361",South America,17,503,6,,,28
Panama,1040230,,8624.0,,1030855.0,,751.0,16,"233,919","1,939","7,697,189","1,730,886","4,446,964",North America,4,516,1,,,169
Uruguay,1038774,,7634.0,,1030944.0,,196.0,18,"297,131","2,184","6,114,822","1,749,083","3,496,016",South America,3,458,1,,,56
Mongolia,1008655,,2179.0,,1006086.0,,390.0,192,"298,588",645,"4,030,048","1,193,000","3,378,078",Asia,3,"1,550",1,,,115
Nepal,1003353,+1,12031.0,,991305.0,+3,17.0,,"33,195",398,"6,046,867","200,058","30,225,582",Asia,30,"2,512",5,0.03,,0.6
Belarus,994037,,7118.0,,985592.0,,1327.0,,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe,9,"1,325",1,,,141
Latvia,977891,,6344.0,,971406.0,,141.0,13,"528,922","3,431","7,875,835","4,259,886","1,848,837",Europe,2,291,0,,,76
Saudi Arabia,841469,,9646.0,,827923.0,,3900.0,66,"23,475",269,"45,481,735","1,268,848","35,844,909",Asia,43,"3,716",1,,,109
Azerbaijan,831865,,10277.0,,821550.0,,38.0,,"80,762",998,"7,626,218","740,395","10,300,205",Asia,12,"1,002",1,,,4
Bahrain,722069,+25,1564.0,,720371.0,+19,134.0,2,"404,751",877,"10,859,295","6,087,107","1,783,983",Asia,2,"1,141",0,14,,75
Sri Lanka,672495,+5,16876.0,,655607.0,+10,12.0,,"31,169",782,"6,486,117","300,619","21,575,842",Asia,32,"1,278",3,0.2,,0.6
Kuwait,665931,,2570.0,,660237.0,,3124.0,,"152,028",587,"8,455,743","1,930,391","4,380,326",Asia,7,"1,704",1,,,713
Dominican Republic,661176,,4384.0,,644785.0,,12007.0,4,"59,800",397,"3,740,928","338,350","11,056,370",North America,17,"2,522",3,,,"1,086"
Cyprus,660854,,1364.0,,659490.0,,0.0,60,"540,184","1,115","9,640,118","7,879,860","1,223,387",Asia,2,897,0,,,
Myanmar,639379,+70,19494.0,,618363.0,+46,1522.0,,"11,577",353,"10,703,628","193,811","55,227,143",Asia,86,"2,833",5,1,,28
Palestine,621008,,5404.0,,615445.0,,159.0,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia,9,989,2,,,30
Moldova,620574,,12118.0,,504142.0,,104314.0,49,"154,634","3,020","3,216,305","801,437","4,013,171",Europe,6,331,1,,,"25,993"
Estonia,619051,,3001.0,,524990.0,,91060.0,2,"468,300","2,270","3,718,876","2,813,260","1,321,910",Europe,2,440,0,,,"68,885"
Venezuela,552695,,5856.0,,546537.0,,302.0,31,"18,885",200,"3,359,014","114,771","29,266,991",South America,53,"4,998",9,,,10
Egypt,516023,,24613.0,,442182.0,,49228.0,122,"4,861",232,"3,693,367","34,792","106,156,692",Africa,206,"4,313",29,,,464
Qatar,513995,+72,690.0,,512997.0,+136,308.0,17,"172,486",232,"4,065,369","1,364,257","2,979,915",Asia,6,"4,319",1,24,,103
Libya,507264,,6437.0,,500826.0,,1.0,,"72,047",914,"2,483,848","352,782","7,040,745",Africa,14,"1,094",3,,,0.1
Ethiopia,500912,+1,7574.0,,488133.0,+1,5205.0,1,"4,146",63,"5,554,931","45,980","120,812,698",Africa,241,"15,951",22,0.01,,43
Réunion,486588,,921.0,,418572.0,,67095.0,10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa,2,986,1,,,"73,888"
