"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Barbados,107794,,593,,106971,,230,,"374,255","2,059","801,451","2,782,594","288,023",North America,3,486,0,,,799
Angola,105384,,1934,,103419,,31,,"3,009",55,"1,499,795","42,818","35,027,343",Africa,332,"18,111",23,,,0.9
Channel Islands,101717,,228,,101321,,168,,"576,421","1,292","1,252,808","7,099,551","176,463",Europe,2,774,0,,,952
French Guiana,98041,,420,,11254,,86367,6,"312,065","1,337","651,257","2,072,951","314,169",South America,3,748,0,,,"274,906"
DRC,96652,,1467,,84489,,10696,,"1,015",15,"846,704","8,890","95,240,792",Africa,985,"64,922",112,,,112
Senegal,88997,,1971,,87024,,2,,"5,041",112,"1,146,543","64,946","17,653,671",Africa,198,"8,957",15,,,0.1
Malawi,88728,,2686,,85651,,391,67,"4,397",133,"624,784","30,959","20,180,839",Africa,227,"7,513",32,,,19
Ivory Coast,88331,,835,,87497,,-1,,"3,184",30,"1,690,934","60,951","27,742,298",Africa,314,"33,224",16,,,-0.04
New Caledonia,79922,,314,,79605,,3,9,"274,726","1,079","98,964","340,182","290,915",Australia/Oceania,4,926,3,,,10
Eswatini,74670,,1425,,73116,,129,,"63,022","1,203","1,048,704","885,119","1,184,817",Africa,16,831,1,,,109
Guyana,73265,,1298,,71936,,31,,"92,268","1,635","731,857","921,682","794,045",South America,11,612,1,,,39
Belize,70782,,688,,70085,,9,6,"171,722","1,669","576,016","1,397,453","412,190",North America,6,599,1,,,22
Fiji,68921,,883,,67029,,1009,,"75,782",971,"670,903","737,689","909,466",Australia/Oceania,13,"1,030",1,,,"1,109"
Madagascar,68289,,1425,,66862,,2,,"2,340",49,"531,329","18,210","29,178,077",Africa,427,"20,476",55,,,0.07
Sudan,63993,,5046,,58708,12,239,,"1,391",110,"562,941","12,240","45,992,020",Africa,719,"9,115",82,,,5
Cabo Verde,63967,,414,,63473,,80,23,"112,682",729,"401,622","707,482","567,678",Africa,9,"1,371",1,,,141
Mauritania,63715,,997,,62471,,247,,"12,998",203,"1,009,957","206,030","4,901,981",Africa,77,"4,917",5,,,50
Bhutan,62671,,21,,61564,,1086,,"79,538",27,"2,303,734","2,923,739","787,941",Asia,13,"37,521",0,,,"1,378"
Syria,57608,,3164,,54370,,74,,"2,975",163,"146,269","7,553","19,364,809",Asia,336,"6,120",132,,,4
Burundi,53762,,38,,53569,,155,,"4,258",3,"345,742","27,386","12,624,840",Africa,235,"332,233",37,,,12
Seychelles,50937,,172,,50750,,15,,"512,311","1,730",,,"99,426",Africa,2,578,,,,151
Gabon,48992,,307,,48674,,11,,"21,013",132,"1,621,909","695,641","2,331,533",Africa,48,"7,595",1,,,5
Andorra,48015,,165,,47563,,287,14,"619,844","2,130","249,838","3,225,256","77,463",Europe,2,469,0,,,"3,705"
Papua New Guinea,46864,,670,,43982,,2212,7,"5,043",72,"249,149","26,813","9,292,169",Australia/Oceania,198,"13,869",37,,,238
Curaçao,45986,,295,,44720,,971,3,"277,812","1,782","496,693","3,000,640","165,529",North America,4,561,0,,,"5,866"
Aruba,44180,,236,,42438,,1506,2,"410,560","2,193","177,885","1,653,068","107,609",North America,2,456,1,,,"13,995"
Mauritius,42576,,1050,,40814,,712,,"33,400",824,"358,675","281,374","1,274,727",Africa,30,"1,214",4,,,559
Togo,39500,,290,,39209,,1,,"4,550",33,"811,922","93,530","8,680,837",Africa,220,"29,934",11,,,0.1
Guinea,38563,,468,,37757,,338,8,"2,781",34,"660,107","47,607","13,865,691",Africa,360,"29,628",21,,,24
Bahamas,38084,,844,,36366,,874,1,"95,087","2,107","257,839","643,767","400,516",North America,11,475,2,,,"2,182"
Lesotho,34790,,723,,25980,,8087,,"15,990",332,"431,221","198,199","2,175,699",Africa,63,"3,009",5,,,"3,717"
Haiti,34246,,860,,33361,,25,,"2,932",74,"132,422","11,337","11,680,283",North America,341,"13,582",88,,,2
Mali,33150,,743,,32331,,76,,"1,544",35,"804,562","37,467","21,473,764",Africa,648,"28,901",27,,,4
Cayman Islands,31472,,37,,8553,,22882,1,"467,797",550,"222,773","3,311,280","67,277",North America,2,"1,818",0,,,"340,116"
Saint Lucia,30052,,409,,29095,,548,,"162,344","2,209","210,983","1,139,752","185,113",North America,6,453,1,,,"2,960"
Benin,28014,,163,,27847,,4,,"2,191",13,"604,310","47,268","12,784,726",Africa,456,"78,434",21,,,0.3
Somalia,27334,,1361,,13182,,12791,,"1,623",81,"400,466","23,778","16,841,795",Africa,616,"12,375",42,,,759
Congo,25375,,386,,24006,,983,,"4,377",67,"347,815","59,991","5,797,805",Africa,228,"15,020",17,,,170
San Marino,24298,,125,,24167,,6,4,"712,865","3,667","196,855","5,775,414","34,085",Europe,1,273,0,,,176
Timor-Leste,23450,,138,,23102,,210,,"17,124",101,"278,529","203,391","1,369,429",Asia,58,"9,923",5,,,153
Burkina Faso,22056,,396,,21596,,64,,998,18,"248,995","11,265","22,102,838",Africa,"1,002","55,815",89,,,3
Liechtenstein,21446,,94,,21351,,1,,"558,679","2,449","112,457","2,929,559","38,387",Europe,2,408,0,,,26
Gibraltar,20550,,113,,16579,,3858,,"609,720","3,353","534,283","15,852,213","33,704",Europe,2,298,0,,,"114,467"
Grenada,19693,,238,,19358,,97,4,"173,545","2,097","182,981","1,612,523","113,475",North America,6,477,1,,,855
Bermuda,18860,,165,,18685,,10,,"304,493","2,664","1,029,558","16,622,128","61,939",North America,3,375,0,,,161
Nicaragua,18491,,225,,4225,,14041,,"2,728",33,,,"6,779,100",North America,367,"30,129",,,,"2,071"
South Sudan,18368,,138,,18115,,115,1,"1,581",12,"410,280","35,313","11,618,511",Africa,633,"84,192",28,,,10
Tajikistan,17786,,125,,17264,,397,,"1,786",13,,,"9,957,464",Asia,560,"79,660",,,,40
Equatorial Guinea,17229,,183,,16907,,139,5,"11,512",122,"365,697","244,342","1,496,662",Africa,87,"8,178",4,,,93
Tonga,16817,,13,,15638,,1166,,"156,076",121,"535,009","4,965,327","107,749",Australia/Oceania,6,"8,288",0,,,"10,821"
Monaco,16793,,67,,15992,,734,4,"422,115","1,684","78,646","1,976,875","39,783",Europe,2,594,1,,,"18,450"
Samoa,16763,,31,,1605,,15127,,"82,887",153,"187,397","926,612","202,239",Australia/Oceania,12,"6,524",1,,,"74,798"
Marshall Islands,16098,,17,,16079,,2,,"268,045",283,,,"60,057",Australia/Oceania,4,"3,533",,,,33
Dominica,15760,,74,,15673,,13,,"217,848","1,023","229,344","3,170,187","72,344",North America,5,978,0,,,180
Djibouti,15690,,189,,15427,,74,,"15,441",186,"305,941","301,094","1,016,097",Africa,65,"5,376",3,,,73
CAR,15368,,113,,15200,,55,2,"3,063",23,"81,294","16,205","5,016,678",Africa,326,"44,395",62,,,11
Gambia,12626,,372,,12189,,65,,"4,935",145,"155,686","60,851","2,558,482",Africa,203,"6,878",16,,,25
Saint Martin,12303,,63,,1399,,10841,7,"309,665","1,586","112,382","2,828,643","39,730",North America,3,631,0,,,"272,867"
Vanuatu,12019,,14,,11976,,29,,"37,346",44,"24,976","77,606","321,832",Australia/Oceania,27,"22,988",13,,,90
